   text	   data	    bss	    dec	    hex	filename
    466	      0	      0	    466	    1d2	built/jm-rgb-led-ring-37-2.1/app/jacdac-c/services/hidmouse.o
    272	      0	      0	    272	    110	built/jm-rgb-led-ring-37-2.1/app/jacdac-c/services/magneticfieldlevel.o
     66	      0	      0	     66	     42	built/jm-rgb-led-ring-37-2.1/app/jacdac-c/services/oled.o
    156	      0	      0	    156	     9c	built/jm-rgb-led-ring-37-2.1/app/jacdac-c/services/dcvoltagemeasurement.o
    170	      0	      0	    170	     aa	built/jm-rgb-led-ring-37-2.1/app/jacdac-c/services/color.o
    178	      0	      4	    182	     b6	built/jm-rgb-led-ring-37-2.1/app/jacdac-c/services/logger.o
    562	      0	      0	    562	    232	built/jm-rgb-led-ring-37-2.1/app/jacdac-c/services/braille_display.o
    236	      0	      0	    236	     ec	built/jm-rgb-led-ring-37-2.1/app/jacdac-c/services/hidjoystick.o
    182	      0	      0	    182	     b6	built/jm-rgb-led-ring-37-2.1/app/jacdac-c/services/relay.o
    406	      0	      0	    406	    196	built/jm-rgb-led-ring-37-2.1/app/jacdac-c/services/rotaryencoder.o
     56	      0	      0	     56	     38	built/jm-rgb-led-ring-37-2.1/app/jacdac-c/services/eco2.o
      0	      0	      0	      0	      0	built/jm-rgb-led-ring-37-2.1/app/jacdac-c/services/multitouch.o
    348	      0	      0	    348	    15c	built/jm-rgb-led-ring-37-2.1/app/jacdac-c/services/button.o
     56	      0	      0	     56	     38	built/jm-rgb-led-ring-37-2.1/app/jacdac-c/services/tvoc.o
    114	      0	      0	    114	     72	built/jm-rgb-led-ring-37-2.1/app/jacdac-c/services/lightbulb.o
    612	      0	      0	    612	    264	built/jm-rgb-led-ring-37-2.1/app/jacdac-c/services/gamepad.o
    184	      0	      0	    184	     b8	built/jm-rgb-led-ring-37-2.1/app/jacdac-c/services/motion.o
    126	      0	      0	    126	     7e	built/jm-rgb-led-ring-37-2.1/app/jacdac-c/services/gyroscope.o
      0	      0	      0	      0	      0	built/jm-rgb-led-ring-37-2.1/app/jacdac-c/services/power.o
    398	      0	    200	    598	    256	built/jm-rgb-led-ring-37-2.1/app/jacdac-c/services/speechsynth.o
